ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6341536,HP426250,07/01/2008 01:00:00 AM,062XX S KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,true,0823,008,15,66,14,1156122,1863225,2008,02/04/2016 06:33:39 AM,41.780473606,-87.703178355,"(41.780473606, -87.703178355)"
6341538,HP429418,07/02/2008 03:55:00 PM,080XX S TRUMBULL AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE,true,false,0834,008,18,70,03,1154779,1851149,2008,02/04/2016 06:33:39 AM,41.747362057,-87.708423712,"(41.747362057, -87.708423712)"
6341539,HP429807,07/01/2008 11:30:00 PM,017XX W 43RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0914,009,12,61,14,1165254,1876180,2008,02/04/2016 06:33:39 AM,41.815835169,-87.669331839,"(41.815835169, -87.669331839)"
6341540,HP423995,06/29/2008 10:21:37 PM,018XX E 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,0414,004,8,43,08B,1190039,1852964,2008,02/04/2016 06:33:39 AM,41.751567231,-87.579163749,"(41.751567231, -87.579163749)"
6341541,HP415503,06/25/2008 03:00:00 PM,014XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1021,010,24,29,14,1153932,1892915,2008,02/04/2016 06:33:39 AM,41.861990637,-87.710418218,"(41.861990637, -87.710418218)"
6341542,HP429777,07/02/2008 07:40:00 PM,079XX S ESSEX AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0422,004,7,46,18,1194236,1852718,2008,02/04/2016 06:33:39 AM,41.750790205,-87.563792091,"(41.750790205, -87.563792091)"
6341543,HP429704,07/02/2008 07:18:01 PM,087XX S MANISTEE AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0423,004,7,46,04B,1196146,1847657,2008,02/04/2016 06:33:39 AM,41.736855332,-87.556960404,"(41.736855332, -87.556960404)"
6341544,HP415790,06/24/2008 06:26:00 PM,022XX S KILDARE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1013,010,22,29,26,1148292,1888811,2008,02/04/2016 06:33:39 AM,41.850839173,-87.731227595,"(41.850839173, -87.731227595)"
6341545,HP430007,07/02/2008 09:52:42 PM,075XX S YATES BLVD,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0414,004,7,43,05,1193513,1855355,2008,02/04/2016 06:33:39 AM,41.758044058,-87.566355313,"(41.758044058, -87.566355313)"
6341546,HP419573,06/27/2008 03:58:00 PM,055XX S TRIPP AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0813,008,13,62,06,1148976,1867554,2008,02/04/2016 06:33:39 AM,41.792493782,-87.729265656,"(41.792493782, -87.729265656)"
6341547,HP420218,06/27/2008 09:58:13 PM,024XX E 83RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0423,004,7,46,18,1194044,1850417,2008,02/04/2016 06:33:39 AM,41.744480783,-87.564570992,"(41.744480783, -87.564570992)"
6341548,HP429167,07/02/2008 12:49:31 PM,056XX S FAIRFIELD AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,true,false,0824,008,16,63,04B,1159000,1867242,2008,02/04/2016 06:33:39 AM,41.791438452,-87.692517267,"(41.791438452, -87.692517267)"
6341549,HP420319,06/27/2008 10:56:20 PM,007XX N LONG AVE,2026,NARCOTICS,POSS: PCP,STREET,true,false,1524,015,37,25,18,1140188,1904309,2008,02/04/2016 06:33:39 AM,41.893519812,-87.760591803,"(41.893519812, -87.760591803)"
